Title,Lyrics
Little Of Your Time,"I'm sick of picking the pieces
And second guessing my reasons
Why you don't trust me
Why must we do this to one another
We are just passionate lovers
With trouble under the covers
Nothing worse than when
You know that it's over
I just need a little of your time
A little of your time
To say the words I never said
Just need a little of your time
A little of your time
To show you that I am not dead
Please don't leave, stay in bed
Touch my body instead
Gonna make you feel it
Can you still feel it?
Gonna make you feel it
Can you still feel it?
Well, I've got nothing to hide
Dip down and come for a ride
I'm racing the devil so sly
You cannot hear 'em coming
'Cause my defenses are weak
I have no breath left to speak
So take the evidence
And bury it somewhere
I just need a little of your time
A little of your time
To say the words I never said
Just need a little of your time
A little of your time
To show you that I am not dead
Please don't leave, stay in bed
Touch my body instead
Gonna make you feel it
Can you still feel it?
Gonna make you feel it
Can you still feel it?
Oh my, I don't mind being the other guy
Nice try, for these games, I do not have the time
If you want me, call me, come and take a risk
Kiss me somewhere deep below the surface
I just need a little of your time
A little of your time
To say the words I never said
I just need a little of your time
A little of your time
To show you that I am not dead
Please don't leave, stay in bed
Touch my body instead
Gonna make you feel it
Can you still feel it?
Gonna make you feel it
Can you still feel it?
Gonna make you feel it
Can you still feel it?
Gonna make you feel it
Can you still feel it?"
Makes Me Wonder,"Wake up with blood-shot eyes
Struggled to memorize
Way it felt to hearing lies
People that made you cry
Feel so good to be bad
Not worth the aftermath
After that, after that
Try to get you back
I still don't have the reason
And you don't have the time
And it really makes me wonder
If I ever gave a thought about you
Give me something to believe in
'Cause I don't believe in you anymore, anymore
I wonder if it even makes a difference to try
Yeah, so this is goodbye
Can?t stop my spinning head
Decisions that made my bed
Now I must lay in it
Deal with things I've left unsaid
Want to dive into you
Forget what you're going through
Get behind, make your move
Forget about the truth
I still don't have a reason
And you don't have the time
And it really makes me wonder
If I ever gave a thought about you
Give me something to believe in
'Cause I don't believe in you anymore, anymore
I wonder if it even makes a difference
Even makes a difference to try, yeah
And you told me how you're feelin'
But I don't believe it's true anymore, anymore
I wonder if it even makes a difference to cry
So this is goodbye
I've been here before, one day, a week
And it won't hurt anymore
You caught me in a lie, I have no alibi
The words you said don't have a meaning 'cause
I still don't have a reason and you don't have the time
And it really makes me wonder
If I ever gave a thought about you and I
So this is goodbye
Give me something to believe in
'Cause I don't believe in you anymore, anymore
I wonder if it even makes a difference
Even makes a difference to try, yeah
And you told me how you're feelin'
But I don't believe it's true anymore, anymore
I wonder if it even makes a difference to cry
So this is goodbye
So this is goodbye
Yeah, so this is goodbye
Yeah, so this is goodbye"
Not Falling Apart,"Danced all night and slept all day
Careless with my heart again
Fearless when it comes to playing games
You don't cry and you don't care
Afraid to have a love affair
Is that your ghost or are you really there?
Now I can't walk, I can't talk anymore
Since you walked out the door
And now I'm stuck, living out that night again
I'm not falling apart
Wither on a sunny day
Time slows down, I wish you'd stay
Pass me by in crowded dark hallways
Try my hardest not to scream
I find my heart is growing weak
So leave your reasons on the bathroom sink
Now I can't walk, I can't talk anymore
Since you walked out the door
And now I'm stuck, living out that night again
I'm not falling apart
I heard you say you needed me
Now what's the problem? I can't see
You destroyed me, I won't fall apart again
I'm not falling apart
Take what you want
And I will be just fine
You will be better off alone at night
Waiting and falling
Constantly calling out your name
Will it ever change?
Now I can't walk, I can't talk anymore
Since you walked out the door
And now I'm stuck living out that night again
I'm not falling apart
I heard you say you needed me
Now what's the problem? I can't see
You destroyed me, I won't fall apart again
I'm not falling apart"
Secret [Premier 5 Remix],"Watch the sunrise
Say your goodbyes
Off we go
Some conversation
No contemplation
Hit the road
Car overheats
Jump out of my seat
On the side of the highway baby
Our road is long
Your hold is strong
Please don't ever let go, oh no
I know I don't know you
But I want you so bad
Everyone has a secret
Oh can they keep it
Oh no they can't
Driving fast now
Don't think I know how to go slow
Where you at now
I feel around
There you are
Cool these engines
Calm these jets
I ask you how hot can it get
And as you wipe of beads of sweat
Slowly you say, ""I'm not there yet""
I know I don't know you
But I want you so bad
Everyone has a secret
Oh can they keep it
Oh no they can't
I know I don't know you
But I want you so bad
Everyone has a secret
Oh but can they keep it
Oh no they can't"
Shiver,"You build me up, you knock me down
Provoke a smile and make me frown
You are the queen of run around
You know it's true
You chew me up and spit me out
Enjoy the taste, I leave in your mouth
You look at me, I look at you
Neither of us know what to do
And there may not
Be another way to your heart
So I guess I'd better find a new way in
I shiver when I hear your name
I think about you but it's not the same
I won't be satisfied 'til I'm under your skin
Immobilized by the thought of you
Paralyzed by the sight of you
Hypnotized by the words you say
Not true but I believe 'em anyway
So come to bed it's getting late
There's no more time for us to waste
Remember how my body tastes
You feel your heart begin to race
There may not
Be another way to your heart
So I guess I'd better find a new way in
I shiver when I hear your name
I think about you but it's not the same
I won't be satisfied 'til I'm under your skin
You feel your heart begin to race
There may not
Be another way to your heart
So I guess I'd better find a new way in
And I shiver when I hear your name
I think about you but it's not the same
I won't be satisfied 'til I'm under your skin, yeah
There may not
Be another way to your heart
So I guess I'd better find a new way in
And I shiver when I hear your name
I think about you but it's not the same
I won't be satisfied 'til I'm under your skin, yeah"
Wake Up Call,"I didn't hear what you were saying
I live on raw emotion, baby
I answer questions, never maybe
And I'm not kind if you betray me
So who the hell are you to say 'we'?
I never would've made it, baby
If you needed love, well, then ask for love
Could've given love, now I'm taking love
And it's not my fault 'cause you both deserve
What's coming now, so don't say a word
Wake up call, caught you in the morning
With another one in my bed
Don't you care about me anymore?
Don't you care about me? I don't think so!
Six foot tall, came without a warning
So I had to shoot him dead
He won't come around here anymore
Come around here, I don't think so!
I would've bled to make you happy
You didn't need to treat me that way
And now you've beat me at my own game
And now I found you sleeping soundly
And your love is screaming loudly
I hear a sound and hit the ground
If you needed love, well, then ask for love
Could've given love, now I'm taking love
And it's not my fault 'cause you both deserve
What's coming now, so don't say a word
Wake up call, caught you in the morning
With another one in my bed
Don't you care about me anymore?
Don't you care about me? I don't think so!
Six foot tall, came without a warning
So I had to shoot him dead
He won't come around here anymore
Come around here, I don't feel so bad
I don't feel so bad, I don't feel so bad
I'm so sorry, darling
Did I do the wrong thing?
Oh, what was I thinking?
Is his heart still beating?
Wake up call, caught you in the morning
With another one in my bed
Don't you care about me anymore?
Don't you care about me? I don't think so!
Six foot tall, came without a warning
So I had to shoot him dead
He won't come around here anymore
Come around here, I don't feel so bad
Wake up call, caught you in the morning
With another one in my bed
Don't you care about me anymore?
Care about me? I don't think so!
Six foot tall, came without a warning
So I had to shoot him dead
He won't come around here anymore
No, he won't come around here, I don't feel so bad
Wake up call, caught you in the morning
With another one in my bed
Don't you care about me anymore?
Don't you care about me? I don't feel so bad
Wake up call, caught you in the morning
With another one in my bed
Don't you care about me anymore?"
Woman,"If I'd be so inclined to climb up beside you
Would you tell me that the time just isn't right?
And if I should ever find the key you hide so well
Will you tell me that I can spend the night?
Leaving your smell on my coat
Leaving your taste on my shoulder
I still fail to understand what it is about this woman
If l could bottle up the chills that you gave me
I would keep them in a jar next to my bed
And if I should ever draw a picture of a woman
It is you that would come flowing from my pen, yeah
Leaving your clothes on my floor
Making me walk out the door and
I still fail to understand what it is about this woman
Fail to understand what it is about this woman
Helplessly melting as I stand next to the sun
As she burns me, I am screaming loud for more
I drink every drop of liquid heat that I've become
Pop me open spill me out onto the floor
Leaving your smell on my coat
Leaving your taste on my shoulder
I still fail to understand, fail to understand
Leaving your smell on my coat
Leaving your taste on my shoulder
I still fail to understand what it is about this woman
Yes"
Back At Your Door,"From the moment the lights went off
Everything had changed
Lie awake in an empty room
In my head, it all feels the same
Like the taste of the day you left
It still lingers on my breath
And the dampness of tears that left
That stain where you had wept
All alone with the negligee
That still hangs off of my bed
I keep meaning to give it away
But I just leave it there instead
No need to cry about it
I cannot live without it
Every time I wind up back at your door
Why do you do this to me?
You penetrate right through me
Every time I wind up back at your door
Three more days 'til I see your face
I'm afraid, it's far too much
Cook a meal and fix up the place
Dial your number, hang it up
If I took you for granted
I apologize for acting tough
You're my reason for living
And there's no way I'm giving up
No need to cry about it
I cannot live without it
Every time I wind up back at your door
Why do you do this to me?
You penetrate right through me
Every time I wind up back at your door
Now every evening is a bitter fight
And I'm eating all alone on a Friday night
And I know what your friends say
?He?s just wasting your love and time?
I will never let you change your mind
No need to cry about it
I cannot live without it
Every time I wind up back at your door
Why do you do this to me?
You penetrate right through me
Every time I wind up back at your door
No need to cry about it
I may just die without it
Every time I wind up back at your door
Why do you do this to me?
You penetrate right through me
Every time I wind up back at your door
Every time I wind up  back at your door
Every time I wind up back at your door"
Can't Stop,"All alone in my room, think of you
At a rate that is truly alarming
I keep looping my memories of you in my head
I pretend that you want me
And I fall asleep
And dream of alternate realities
And I put myself at ease
By pretending that she still loves me
And I can't stop thinking about you
And I can't stop thinking about you
And you never could or would do what I do
And I can't stop thinking about your love
Can't believe I could think that she would
Just follow me everywhere I go
I just wrestle with you in my dreams
And wake up making love to a pillow
And I fall asleep
And dream of alternate realities
And I put myself at ease
By pretending that she still loves me
And I can't stop thinking about you
And I can't stop thinking about you
You never could or would do what I do
And I can't stop and I can't stop
What I would give to have you look in my direction?
And I'd give my life to somehow attract your attention
And I touch myself like it's somebody else
Thoughts of you attached to, on my mind, let me show you
I can't stop thinking about you
And I can't stop thinking about you
And you never could or would do what I do
And I can't stop thinking about you
And I can't stop thinking about you
I can't stop thinking about you
And you never could or would do what I do
I can't stop thinking about you"
Kiwi,"You're such a flirt, I know you hurt
And so do I, I empathize
I see you out, you never cared
A conversation that we never shared
But it's so strange, it's something new
Amazing feelings that I have for you
I close my eyes when I'm alone
Wonder what it'd be like to make you moan
I wanna give you something better
Than anything you've ever had
A stronger and a faster lover
The world, it disappears so fast
Sweet kiwi
Your juices dripping down my chin
So please, let me
Don't stop it before it begins
So give it up and don't pretend
And spread your arms and legs across the bed
And when you shake, you won't regret
The things I whisper in your ear
(What?)
I said
I wanna give you something better
(You wanna give me something better)
Anything you've ever had
(Than anything I've ever had)
A stronger and a faster lover
(A stronger and a faster lover)
The world, it disappears so fast
(It disappears so fast)
Sweet kiwi
Your juices dripping down my chin
So please, let me
Don't stop it before it begins
I can't wait to take you home
Fingers through your hair
Kisses on your back
Scratch me with your nails
Save me from myself
Show me how to care
Get everything out
Dripping everywhere
Lipstick smeared all over your face
How much longer must we wait?
Don't think that I can wait
Sweet kiwi
Your juices dripping down my chin
So please, let me
Don't stop me before it begins
Sweet kiwi
(Wanna give you something better than this)
Your juices dripping down my chin
So please, let me
(Wanna give you something better than this)
Don't stop it before it begins
Don't stop it before it begins
Don't stop it before it begins
Don't stop it before it begins
Don't stop it before it begins"
Nothing Lasts Forever,"It is so easy to see
Dysfunction between you and me
We must free up these tired souls
Before the sadness gets us both
I tried and tried to let you know
I love you but I'm letting go
It may not last but I don't know
Just don't know
If you don't know then you can't care
And I show up but you're not there
But I'm waiting and you want to
Still afraid that I will desert you
Everyday with every word whispered
We get more far away
The distance between us makes it so hard to stay
But nothing last forever but be honest, babe
It hurts but it may be the only way
A web that's warm with memories
Can heal us temporarily
The misbehaving all it makes
The ditch between us so damn deep
Built a wall around my heart
Never let it fall apart
Strangely I wish secretly
It won't fall down while I'm asleep
If you don't know then you can't care
And I show up but you're not there
But I'm waiting and you want to
Still afraid that I will desert you, babe
Everyday with every word whispered
We get more far away
The distance between us makes it so hard to stay
But nothing last forever but be honest, babe
It hurts but it may be the only way
But we have not hit the ground
Doesn't mean we're not still falling
I want so bad to pick you up
But you're still too reluctant to accept my help
What a shame
I hope you find somewhere
To place the blame
But until then the fact remains
Everyday with every word whispered
We get more far away
The distance between us makes it so hard to stay
Nothing last forever, but be honest, babe
It hurts but it may be the only way
Everyday with every word whispered
We get more far away
The distance between us makes it so hard to stay
But nothing last forever, but be honest, babe
It hurts but it may be the only way"
Won't Go Home Without You,"I asked her to stay but she wouldn't listen
And she left before I had the chance to say
The words that would mend the things that were broken
But now it's far too late she's gone away
Every night you cry yourself to sleep
Thinking why does this happen to me?
Why does every moment have to be so hard?
Hard to believe it
It's not over tonight
Just give me one more chance to make it right
I may not make it through the night
I won't go home without you
The taste of her breath, I'll never get over
And the noises that she made kept me awake
The weight of the things that remain unspoken
Built up so much, it crushed us every day
Every night you cry yourself to sleep
Thinking, why does this happen to me?
Why does every moment have to be so hard?
Hard to believe it
It's not over tonight
Just give me one more chance to make it right
I may not make it through the night
I won't go home without you
It's not over tonight
Just give me one more chance to make it right
I may not make it through the night
I won't go home without you
Of all the things I've felt I've never really showed
Perhaps the worst is that I ever let you go
I should not ever let you go
It's not over tonight
Just give me one more chance to make it right
I may not make it through the night
I won't go home without you
It's not over tonight
Just give me one more chance to make it right
I may not make it through the night
I won't go home without you
And I won't go home without you
And I won't go home without you
And I won't go home without you"
Hello,"Well I don't feel as if I know you
You take up all my time
The days are long and the nights will throw you away
'Cos the sun won't shine
Nobody ever mentions the weather to make or break your day
Nobody ever seems to remember, life is a game we play
We live in the shadows and we had the chance and threw it away
And it's never gonna be the same
'Cos the years are fallin' by like the rain
It's never gonna be the same
Until' my mind's knew, comes to my house and says
Hello
There ain't no sense in feeling lonely
They got no faith in you
But I've got a feeling, you still owe me
So wipe from your shoes
Nobody ever mentions the weather to make or break your day
Nobody ever seems to remember, the life is a game we play
We live in the shadows and we had the chance and threw it away
And it's never gonna be the same
'Cos the years are fallin' by like the rain
It's never gonna be the same
Until' my mind's knew, comes to my house and says
Hello, hello
Hello, hello, hello
Hello, hello
Hello, hello
Oh yeah"
Must Get Out,"I've been the needle and the thread
Weaving figure eights and circles round your head
I try to laugh but cry instead
Patiently wait to hear the words you've never said
Fumbling through your dresser drawer
Forgot what I was looking for
Try to guide me in the right direction
And making use of all this time
Keeping everything inside
Close my eyes and listen to you crying
I'm lifting you up, I'm letting you down
I'm dancing 'til dawn, I'm fooling around
And I'm not giving up, I'm making your love
This city's made us crazy and we must get out
And this is not goodbye she said
It is just time for me to rest my head
She does not walk, she runs instead
Down these jagged streets and into my bed
When I was fumbling through your dresser drawer
Forgot what I was looking for
Try to guide me in the right direction
Making use of all this time
Keeping everything inside
Close my eyes and listen to you crying
I'm lifting you up, I'm letting you down
I'm dancing 'til dawn, I'm fooling around
I'm not giving up, I'm making your love
This city's made us crazy and we must get out
There's only so much I can do for you
After all of the things you put me through
Oh, I'm lifting you up, I'm letting you down
I'm dancing 'til dawn, I'm fooling around
I'm not giving up, I'm making your love
This city's made us crazy and we must get out
I'm lifting you up, I'm letting you down
I'm dancing 'til dawn, I'm fooling around
I'm not giving up, I'm making your love
This city's made us crazy and we must get out
I'm lifting you up, I'm letting you down
(Whoa, whoa)
I'm dancing 'til dawn, I'm fooling around
(Whoa, whoa)
I'm not giving up, I'm making your love
(Whoa, yeah)
This city's made us crazy and we must get out"
Not Coming Home,"When you refuse me, you confuse me
What makes you think I'll let you in again?
Think again, my friend
Go on, misuse me and abuse me
I'll come out stronger in the end
Does it make you sad to find yourself alone?
Does it make you mad to find that I have grown?
I'll bet it hurts so bad to see the strength that I have shown
When you answer the door, pick up the phone
You won't find me 'cause I'm not coming home
You do not know how much this hurts me
To say these things that I don't want to say
But have to say them anyway, oh
I would do anything to end your suffering
But you would rather walk away
Does it make you sad to find yourself alone?
Does it make you mad to find that I have grown?
I'll bet it hurts so bad to see the strength that I have shown
When you answer the door, pick up the phone
You won't find me 'cause I'm not coming home, oh yeah
Does it make you sad to find yourself alone?
Does it make you mad to find that I have grown?
Does it make you sad to find yourself alone, yeah?
Does it make you mad to see that I have grown?
I'll bet it hurts so bad to see the strength that I have shown, oh
When you answer the door, pick up the phone
You wont find me 'cause I'm not coming home yeah, yeah
When you answer the door, pick up the phone
You wont find me 'cause I'm not coming home yeah, yeah
When you answer the door, pick up the phone
You wont find me 'cause I'm not coming home"
Secret,"Watch the sunrise
Say your goodbyes
Off we go
Some conversation
No contemplation
Hit the road
Car overheats
Jump out of my seat
On the side of the highway baby
Our road is long
Your hold is strong
Please don't ever let go, oh no
I know I don't know you
But I want you so bad
Everyone has a secret
Oh can they keep it
Oh no they can't
Driving fast now
Don't think I know how to go slow
Where you at now
I feel around
There you are
Cool these engines
Calm these jets
I ask you how hot can it get
And as you wipe of beads of sweat
Slowly you say, ""I'm not there yet""
I know I don't know you
But I want you so bad
Everyone has a secret
Oh can they keep it
Oh no they can't
I know I don't know you
But I want you so bad
Everyone has a secret
Oh but can they keep it
Oh no they can't"
Sweetest Goodbye,"Where you are seems to be
As far as an eternity
Outstretched arms, open heart
And if it never ends then when do we start?
I'll never leave you behind
Or treat you unkind
I know you understand, oh
And with a tear in my eye
Give me the sweetest goodbye
That I ever did receive
Pushing forward and arching back
Bring me closer to heart attack
Say goodbye and just fly away
When you've comeback, I have some thing to say, yeah
How does it feel to know you never have to be alone
When you get home, home
There must be someplace here that only you and I could go
So I can show you how I
Dream away everyday
Try so hard to disregard
The rhythm of the rain that drops
And coincides with the beating of my heart
I'll never leave you behind
Or treat you unkind
And I know you'll understand, yeah, yeah, yeah
And with a tear in my eye
Give me the sweetest goodbye
That I ever, ever, ever did receive
Pushing forward and arching back
Bring me closer to heart attack
Say goodbye and just fly away
When you'll comeback and I have some thing to say, yeah
How does it feel to know you never have to be alone
When you get home, home
There must be someplace here that only you and I could go
So I can show you how I feel, feel, feel, feel
How does it feel to know you never have to be alone
When you get home, home
There must be someplace here that only you and I could go
So I can show you how I feel
Show you how I feel
Show you how I feel
Show I, show you
Show you how I feel
There must be someplace here that only you and I could go
So I can show you how I feel"
